date,WaterQuality,Temperature,pH,Dissolved Oxygen Concentration,KMnOAmmonia nitrogen,phosphorus,N2,Conductivity,Turbidity,
2021/1/1 0:00,2,12.2,7.43,8.6,2.09,0.069,0.032,0.9,181.3,20.3
2021/1/1 4:00,2,11.9,7.42,8.63,2.08,0.066,0.03,0.78,181.1,18.7
2021/1/1 8:00,2,11.7,7.41,8.76,2.2,0.066,0.033,0.89,181.4,21.9
2021/1/1 12:00,2,12.1,7.43,8.68,1.86,0.067,0.03,0.96,181.8,19.9
2021/1/1 16:00,2,11.9,7.46,8.81,1.88,0.067,0.03,0.92,182,18.3
2021/1/1 20:00,2,12.1,7.46,8.66,2.09,0.067,0.034,0.9,188.1,21.6
2021/1/2 0:00,2,11.8,7.36,8.72,2.08,0.066,0.031,1.09,192.3,18
2021/1/2 4:00,2,11.4,7.44,8.67,2.16,0.069,0.032,0.98,194.8,16.8
2021/1/2 8:00,2,11.6,7.43,10.03,2.28,0.078,0.036,1.03,196.6,24.4
2021/1/2 12:00,2,11.3,7.64,9.12,2.21,0.066,0.036,1.03,196.1,19.9
2021/1/2 16:00,2,12.3,7.63,9.76,2.16,0.066,0.034,1.06,197.2,20
2021/1/2 20:00,2,12,7.49,8.74,2.37,0.066,0.036,1.09,196.6,21.3
2021/1/3 0:00,2,11.8,7.47,8.66,2.61,0.061,0.031,0.84,191.2,16.8
2021/1/3 4:00,2,11.6,7.46,8.68,2.43,0.046,0.031,0.9,191.4,16.1
2021/1/3 8:00,2,11.4,7.46,8.83,2.29,0.067,0.032,0.93,192,16.6
2021/1/3 12:00,2,12.1,7.49,8.92,2.06,0.047,0.031,1,189,16
2021/1/3 16:00,2,12.3,7.67,9.26,1.99,0.037,0.03,1.01,188.8,14.6
2021/1/3 20:00,2,12.1,7.48,8.71,2.19,0.043,0.029,1.03,188,14.8
2021/1/4 0:00,2,12,7.38,8.63,2.24,0.037,0.028,0.76,189.1,13.6
2021/1/4 4:00,2,12,7.46,8.69,2.34,0.042,0.028,1.03,188.3,11.4
2021/1/4 8:00,2,11.9,7.47,8.86,2.33,0.046,0.029,0.97,187.9,13.6
2021/1/4 12:00,2,12.4,7.49,8.83,2.07,0.04,0.029,0.89,184.7,14.3
2021/1/4 16:00,2,12.6,7.63,8.96,2.14,0.042,0.028,0.66,179.6,17.6
2021/1/4 20:00,2,12.3,7.48,8.69,2.27,0.042,0.027,0.6,169.9,17.4
2021/1/6 0:00,2,12.3,7.48,8.73,2.03,0.028,0.024,0.61,166,12
2021/1/6 4:00,2,12.3,7.47,8.73,2,0.026,0.023,0.63,166.2,12.3
2021/1/6 8:00,2,12.2,7.47,8.8,2.41,0.029,0.026,0.81,166.3,14.1
2021/1/6 12:00,2,12.2,7.47,8.74,2.08,0.027,0.026,0.82,162.3,16.2
2021/1/6 16:00,2,12.1,7.49,8.96,2.08,0.033,0.026,0.86,163.1,16.4
2021/1/6 20:00,2,12.1,7.46,8.78,2.08,0.039,0.024,0.84,160.6,16.7
2021/1/6 0:00,2,12,7.46,8.8,2.2,0.044,0.024,0.86,163.1,16.8
2021/1/6 4:00,2,11.8,7.46,8.78,1.89,0.044,0.024,0.82,163.2,16.3
2021/1/6 8:00,2,11.7,7.46,9.81,2.13,0.081,0.027,0.77,164.7,20.7
2021/1/6 12:00,2,11.8,7.48,8.93,2.06,0.069,0.027,0.86,169.6,16.8
2021/1/6 16:00,2,11.9,7.43,9.62,1.93,0.068,0.026,0.82,171.9,16.4
2021/1/6 20:00,2,11.6,7.47,8.98,2.29,0.08,0.028,0.87,179.4,18.4
2021/1/7 0:00,2,11.3,7.49,9.02,2.41,0.083,0.03,0.96,189.9,18.1
2021/1/7 4:00,2,11,7.49,9.02,2.34,0.08,0.029,0.91,188,16.2
2021/1/7 8:00,2,10.8,7.6,11.42,2.41,0.087,0.032,1.02,192.9,34.6
2021/1/7 12:00,2,11.2,7.61,9.06,2.41,0.089,0.037,1.13,198.8,29.9
2021/1/7 16:00,2,11.2,7.64,9.12,2.41,0.093,0.036,1.2,206.9,26.4
2021/1/7 20:00,2,10.9,7.63,9.08,2.41,0.096,0.037,1.24,210.9,26.2
2021/1/8 0:00,2,10.4,7.63,10.68,2.41,0.096,0.037,1.24,206.6,31.3
2021/1/8 4:00,2,10.1,7.64,9.31,2.41,0.073,0.032,1.06,208.1,18.9
2021/1/8 8:00,2,9.9,7.64,11.62,2.26,0.08,0.034,1.19,210.6,36.2
2021/1/8 12:00,2,10.8,6.84,9.48,0.74,0.088,0.037,1.2,207.9,22.3
2021/1/8 16:00,2,11.3,7.2,9.36,1.61,0.078,0.036,1.14,203.2,20.6
2021/1/8 20:00,2,10.9,7.17,9.06,1.62,0.079,0.032,1.06,187.6,24.6
2021/1/9 0:00,2,10.4,7.2,9.1,1.62,0.079,0.032,1.06,186.1,24.7
2021/1/9 4:00,2,10.3,7.19,9.14,1.21,0.068,0.029,1.08,184.1,20.3
2021/1/9 8:00,2,10.2,7.17,9.18,1.16,0.064,0.031,1.01,184.4,22.9
2021/1/9 12:00,2,11.2,7.19,9.26,0.97,0.069,0.032,1.06,181.3,24.7
2021/1/9 16:00,2,11.2,7.18,9.24,0.86,0.038,0.03,1.02,180.6,22.3
2021/1/9 20:00,2,11,7.18,9.11,0.93,0.028,0.03,0.91,174.4,24.6
2021/1/10 0:00,2,10.6,7.17,9.2,0.93,0.028,0.03,0.91,180,23.6
2021/1/10 4:00,2,10.2,7.16,9.12,0.9,0.026,0.029,1.01,179.4,21.1
2021/1/10 8:00,2,10.4,7.14,9.1,0.48,0.038,0.034,0.92,178.9,26.6
2021/1/10 12:00,2,11,7.16,9.24,3.34,0.033,0.03,0.92,178.9,23.3
2021/1/10 16:00,2,11.3,7.21,9.23,2.66,0.029,0.029,1.02,177.6,22.4
2021/1/10 20:00,2,11,7.17,9.27,2.17,0.03,0.028,0.84,174.2,22.7
2021/1/11 0:00,2,10.7,7.16,9.16,2.17,0.03,0.028,0.84,172.1,21
2021/1/11 4:00,2,10.6,7.14,9.07,2.62,0.026,0.026,0.87,171.1,18.1
2021/1/11 8:00,2,10,7.17,9.23,1.76,0.026,0.023,0.88,171.6,17.6
2021/1/11 12:00,2,11.1,7.26,9.41,2.71,0.034,0.031,0.94,172.4,26
2021/1/11 16:00,2,11.6,7.34,9.62,2.16,0.031,0.026,0.76,169,19.4
2021/1/11 20:00,2,11.2,7.26,9.03,1.69,0.028,0.026,0.98,168.3,17.4
2021/1/12 0:00,2,10.9,7.24,9.02,1.69,0.028,0.026,0.98,176.9,13.8
2021/1/12 4:00,2,10.3,7.24,8.97,1.88,0.026,0.024,0.81,177.2,12.8
2021/1/12 8:00,2,9.7,7.23,9.03,2.07,0.029,0.024,0.9,176.6,13.8
2021/1/12 12:00,2,10,7.6,11.16,1.62,0.026,0.028,0.96,184.1,16.4
2021/1/12 16:00,2,10.9,7.61,11.02,1.23,0.026,0.029,1.14,189.3,18.2
2021/1/12 20:00,2,10.2,7.39,9.91,1.61,0.034,0.03,1.13,194.4,18.7
2021/1/13 0:00,2,9.9,7.4,9.82,1.61,0.034,0.03,1.13,193.4,18
2021/1/13 4:00,2,9.1,7.41,10.08,1.77,0.026,0.028,1.12,189.9,19.1
2021/1/13 8:00,2,9.7,7.4,10.44,1.86,0.066,0.032,1.21,192.9,22.9
2021/1/13 12:00,2,10.4,7.4,10.2,2.02,0.036,0.031,1.08,193.6,20.2
2021/1/13 16:00,2,10.8,7.46,10.48,1.69,0.028,0.029,1.08,193.7,18.7
2021/1/13 20:00,2,10.2,7.38,9.88,1.73,0.034,0.03,1.11,194.6,20.6
2021/1/14 0:00,2,9.9,7.36,9.84,1.66,0.032,0.028,1.11,196.8,18
2021/1/14 4:00,2,9.6,7.36,9.84,1.7,0.031,0.027,1.24,197.3,16.8
2021/1/14 8:00,2,9.7,7.36,10.6,1.86,0.04,0.029,1.2,198.6,24.3
2021/1/14 12:00,2,10.7,7.38,10.11,3.3,0.039,0.037,1.68,197.7,23
2021/1/14 16:00,2,11.1,7.44,10.34,3.67,0.04,0.038,1.03,197.8,20.4
2021/1/14 20:00,2,10.2,7.38,9.9,3.39,0.048,0.037,0.61,192.4,21.8
2021/1/16 0:00,2,10.4,7.36,10.78,3.39,0.048,0.037,0.61,189.9,16.7
2021/1/16 4:00,2,9.9,7.38,9.88,3.96,0.031,0.031,0.64,189.6,16.6
2021/1/16 8:00,2,9.8,7.36,10.34,2.16,0.047,0.037,0.66,190.1,20.3
2021/1/16 12:00,2,10.8,6.77,10.24,2.16,0.032,0.03,1.13,182.9,16.3
2021/1/16 16:00,2,11.2,7.12,10.66,1.24,0.043,0.03,1.06,183,14
2021/1/16 20:00,2,10.6,7.07,10.06,1.66,0.039,0.027,0.78,176,16.1
2021/1/16 0:00,2,10.6,7.07,10.07,1.66,0.039,0.027,0.78,171,16.7
2021/1/16 4:00,2,10.2,7.07,10.12,1.63,0.036,0.028,0.74,169.3,17.9
2021/1/16 8:00,2,10,7.06,10.36,1.24,0.042,0.031,0.8,166,22.8
2021/1/16 12:00,2,10.8,7.07,10.19,3.04,0.027,0.066,1.49,161.6,20.6
2021/1/16 16:00,2,10.9,7.1,10.22,2.61,0.036,0.066,1.17,169.1,22.2
2021/1/16 20:00,2,10.6,7.07,9.99,2.04,0.028,0.062,1.16,166.2,22.6
2021/1/17 0:00,2,10.6,6.99,9.86,2.04,0.028,0.062,1.16,169.6,18.8
2021/1/17 4:00,2,10.1,7.06,10.11,1.8,0.03,0.048,0.88,166.6,19.8
2021/1/17 8:00,2,10,7.06,10.68,1.66,0.04,0.066,1.16,166.1,26.6
2021/1/17 12:00,2,10.9,7.07,10.12,1.1,0.03,0.028,1.14,164.9,23.9
2021/1/17 16:00,2,10.9,7.12,10.4,1.06,0.032,0.028,1.11,168.1,23.3
2021/1/17 20:00,2,10.6,7.06,9.81,1.61,0.039,0.028,1.04,166.7,26.8
2021/1/18 0:00,2,10.4,7.06,9.98,1.61,0.039,0.028,1.04,167.2,22.3
2021/1/18 4:00,2,9.9,7.06,9.9,0.26,0.032,0.026,0.93,167.4,22.6
2021/1/18 8:00,2,9.7,7.06,10.31,0.26,0.038,0.029,1.32,168.1,27.1
2021/1/18 12:00,3,11,7.06,10.03,4.48,0.06,0.03,1.01,168,26.6
2021/1/18 16:00,2,11.3,7.12,10.38,0.26,0.037,0.029,1.08,161.1,26.4
2021/1/18 20:00,2,10.7,7.06,9.89,0.26,0.046,0.028,1,166.6,24.4
2021/1/19 0:00,2,10.4,7.02,10.76,0.26,0.046,0.028,1,167.7,26.2
2021/1/19 4:00,2,9.9,7.06,9.93,0.26,0.061,0.027,0.87,168.4,22.9
2021/1/19 8:00,2,10,7.06,10.37,1.61,0.047,0.029,1.12,170.4,28.9
2021/1/19 12:00,2,10.8,7.06,10.13,1.93,0.069,0.033,1.22,178.8,28.3
2021/1/19 16:00,2,11.1,7.12,10.69,1.6,0.063,0.032,1.16,182.4,26.6
2021/1/19 20:00,2,10.4,7.07,10.01,2.13,0.066,0.029,1.14,186.1,21.3
2021/1/20 0:00,2,10.2,7.07,10.09,2.13,0.066,0.029,1.14,179.2,19.6
2021/1/20 4:00,2,9.9,7.06,10.06,1.7,0.049,0.026,0.96,180.2,19.4
2021/1/20 8:00,2,9.9,7.06,10.32,1.41,0.062,0.03,1.04,182.6,23.6
2021/1/20 12:00,2,10.9,7.09,10.09,1.82,0.063,0.028,1.32,174.1,21.4
2021/1/20 16:00,2,11.4,7.2,10.48,1.64,0.047,0.032,1.06,174.6,29.2
2021/1/20 20:00,2,10.8,7.09,9.99,1.44,0.038,0.026,0.94,161.4,19.3
2021/1/21 0:00,2,11.4,7.1,10.16,1.44,0.038,0.026,0.94,161,20.1
2021/1/21 4:00,2,10.7,7.06,9.88,1.31,0.033,0.022,1.01,161.4,16.6
2021/1/21 8:00,2,10.8,7.06,10.01,1.04,0.031,0.026,0.96,167.6,20.6
2021/1/21 12:00,2,11.6,7.09,10.32,1.62,0.041,0.026,0.96,162.1,23.4
2021/1/21 16:00,2,11.7,7.13,10.22,1.06,0.029,0.024,0.9,160.6,20
2021/1/21 20:00,2,11.3,7.08,9.96,1.09,0.026,0.022,0.74,147.2,18.4
2021/1/22 0:00,2,11.6,7.08,11.04,1.11,0.029,0.03,0.88,148,60.8
2021/1/22 4:00,1,11.4,7.06,9.93,1.02,0.026,0.019,0.73,160.6,16.6
2021/1/22 8:00,2,11.2,7.06,10.38,1.11,0.03,0.023,0.9,148.3,20.8
2021/1/22 12:00,2,11.4,7.06,9.83,1.36,0.042,0.026,0.83,144.8,24.9
2021/1/22 16:00,2,11.3,7.07,10.03,1.04,0.036,0.026,0.86,146.6,23.8
2021/1/22 20:00,2,11.3,7.04,9.79,1.09,0.042,0.026,1.09,146.7,22.7
2021/1/23 0:00,2,11.4,7.02,10.32,0.91,0.038,0.023,0.96,148.6,18.9
2021/1/23 4:00,2,11.3,7.01,9.76,0.93,0.034,0.023,0.99,148.6,18.7
2021/1/23 8:00,2,11.2,7.01,12,1,0.036,0.026,1.06,148.7,29.6
2021/1/23 12:00,2,11.3,7.04,9.84,1.17,0.047,0.026,0.93,147.6,24.3
2021/1/23 16:00,2,11.3,7.06,9.94,0.96,0.036,0.023,0.86,148,22.8
2021/1/23 20:00,2,11.3,7.04,9.78,1.06,0.039,0.026,0.86,147.7,27.3
2021/1/24 0:00,2,11.2,7.02,9.8,0.94,0.04,0.023,0.82,160,19.9
2021/1/24 4:00,2,11.1,7.02,9.78,1.06,0.038,0.023,0.91,160.1,19.3
2021/1/24 8:00,2,11,7.02,9.83,0.78,0.036,0.022,1.07,160.3,17.6
2021/1/24 12:00,2,11.3,6.94,9.92,1.84,0.048,0.028,1.07,160.8,26.9
2021/1/24 16:00,2,11.6,7.09,10.06,1.4,0.026,0.024,0.97,160.6,20.7
2021/1/24 20:00,2,11.3,7.09,9.81,1.23,0.026,0.023,1.02,161.1,20.9
2021/1/26 0:00,2,11.4,7.06,11.4,1.16,0.026,0.032,0.83,163.3,30.1
2021/1/26 4:00,1,11.1,7.07,9.76,1.27,0.026,0.02,1.06,162.9,16
2021/1/26 8:00,2,11,7.06,9.86,1.18,0.026,0.024,1.1,163.3,21.6
2021/1/26 8:00,2,11.3,7.04,10.1,1.14,0.027,0.024,0.97,169.8,21.8
2021/1/26 16:00,2,11.6,7.09,9.79,0.98,0.026,0.026,1.01,162.1,20.8
2021/1/26 20:00,2,11.4,7.11,9.86,1.01,0.026,0.024,0.78,162.9,19.4
2021/1/27 0:00,2,12.6,7.04,9.83,1.01,0.026,0.024,0.78,161,16.1
2021/1/27 4:00,2,11.2,7.09,9.82,0.98,0.026,0.022,0.94,164.3,16.4
2021/1/27 8:00,2,11.1,7.09,9.83,0.98,0.03,0.028,1.14,166.2,23.7
2021/1/27 12:00,2,11.3,7.09,9.73,0.98,0.03,0.028,1.14,166.3,21
2021/1/28 4:00,2,11.2,7.08,9.61,1.69,0.034,0.023,1.04,166.3,17.2
2021/1/28 8:00,2,11.1,7.07,10.44,1.69,0.034,0.023,1.04,167.2,22.4
2021/1/29 8:00,2,10.6,7.12,12.46,1.63,0.033,0.026,1.17,169.6,28
2021/1/29 12:00,2,10.6,7.16,10.17,1.18,0.026,0.026,0.96,173.4,16.2
2021/1/29 16:00,2,11.6,7.16,10.22,1.63,0.028,0.024,1.14,172.1,17.8
2021/1/29 20:00,2,11,7.13,9.74,1.36,0.043,0.024,1.06,173.2,18
2021/1/30 0:00,2,10.8,7.1,9.63,1.36,0.043,0.024,1.06,173.7,17.1
2021/1/30 4:00,2,10.6,7.1,9.66,1.64,0.033,0.023,0.72,173.8,16.6
2021/1/30 8:00,2,10.4,7.1,9.66,1.18,0.036,0.026,1.16,173.9,16.3
2021/1/30 12:00,2,11.2,7.13,9.93,1.36,0.03,0.026,1.2,176.9,19.8
2021/1/30 16:00,2,11.6,7.14,9.94,1.3,0.026,0.026,1,176,18.3
2021/1/30 20:00,2,11.4,7.17,9.92,1.46,0.031,0.026,0.88,176.1,17.3
2021/1/31 0:00,2,11.3,7.08,10.4,1.39,0.032,0.026,0.96,176.7,17.8
2021/1/31 4:00,2,11,7.11,9.6,1.37,0.026,0.023,0.87,176.1,14.9
2021/1/31 8:00,2,11,7.11,9.64,1.46,0.034,0.023,1.09,176.1,14.6
2021/1/31 12:00,2,11.3,7.13,9.92,1.39,0.026,0.026,1.26,182.6,14.8
2021/1/31 16:00,2,11.6,7.17,9.96,1.37,0.029,0.026,0.99,178.3,16.3
2021/1/31 20:00,2,11.7,7.19,10.09,1.39,0.026,0.026,1.12,177,16.4
2021/2/1 0:00,2,11.6,7.17,9.71,1.39,0.026,0.026,1.12,176.4,13.8
2021/2/1 4:00,2,11.3,7.12,9.64,1.34,0.029,0.023,1.06,174.7,14.3
2021/2/1 8:00,2,11.3,7.12,9.61,1.36,0.036,0.022,1.11,174.2,14.8
2021/2/1 12:00,2,11.3,7.12,9.64,1.36,0.036,0.022,1.11,180.8,14.6
2021/2/1 16:00,2,11.7,7.02,9.82,1.26,0.03,0.024,1.38,173.8,12.1
2021/2/1 20:00,2,11.6,7.16,10.12,1.47,0.026,0.023,1.26,176.6,13.4
2021/2/2 0:00,2,11.4,7.13,9.8,1.41,0.026,0.021,1.16,172.6,13.7
2021/2/2 4:00,2,11.3,7.14,9.84,1.46,0.028,0.022,0.99,172.6,13.4
2021/2/2 8:00,2,11.2,7.13,9.84,1.36,0.036,0.026,1.24,172.6,18.6
2021/2/2 12:00,2,11.6,7.14,9.82,1,0.026,0.024,1.14,171.4,16.7
2021/2/2 16:00,2,11.8,7.13,9.99,1.33,0.026,0.023,0.97,171.8,14.2
2021/2/2 20:00,2,11.3,7.12,9.69,1.61,0.029,0.023,1.11,172.4,16.6
2021/2/3 0:00,2,11.1,7.11,9.68,1.38,0.03,0.023,0.96,176.9,17.2
2021/2/3 4:00,2,11,7.1,9.66,1.28,0.029,0.024,1.16,176.4,16.6
2021/2/3 8:00,2,10.87,7.09,9.647,1.61,0.0376,0.0262,1.366,177.3,19
2021/2/3 12:00,2,11.47,7.13,9.818,1.263,0.0311,0.0237,0.997,178.3,16.9
2021/2/3 16:00,2,11.83,7.18,10.164,1.183,0.0317,0.0239,1.047,178.7,18
2021/2/3 20:00,2,11.94,7.3,10.609,1.316,0.026,0.0246,0.89,181.6,14.2
2021/2/4 0:00,2,11.37,7.18,10.08,1.471,0.026,0.022,0.989,180.2,13
2021/2/4 4:00,2,11.18,7.16,9.963,1.3,0.0307,0.0216,0.982,179.6,12
2021/2/4 8:00,2,11.08,7.16,9.742,1.393,0.0297,0.0216,1.112,179.1,12.1
2021/2/4 12:00,2,11.26,7.19,10.149,1.168,0.026,0.0214,1.146,181.4,13.3
2021/2/4 16:00,2,11.4,7.24,10.198,1.331,0.026,0.0227,1.044,182.9,12.3
2021/2/4 20:00,2,11.29,7.24,10.377,1.23,0.026,0.022,0.967,182.6,12.2
2021/2/6 0:00,2,11.4,7.26,11.27,1.409,0.0264,0.0279,1.028,180.8,44.7
2021/2/6 4:00,2,11.18,7.22,10.198,1.316,0.026,0.021,1.092,180.8,12.4
2021/2/6 8:00,2,11.18,7.26,10.348,1.37,0.0267,0.0264,1.186,181.7,16.4
2021/2/6 12:00,2,11.18,7.67,10.644,1.61,0.026,0.0371,1.294,212.7,21.7
2021/2/6 16:00,2,11.18,7.32,10.246,2.013,0.026,0.026,1.216,193.3,13.4
2021/2/6 20:00,2,11.08,7.36,10.396,1.809,0.026,0.0264,1.207,196.7,16.3
2021/2/6 0:00,2,11.08,7.36,10.263,1.809,0.026,0.0264,1.207,192.7,11.2
2021/2/6 4:00,2,11.08,7.3,10.346,1.817,0.026,0.0216,1.067,188.7,10.3
